"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","0"
"3",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","0"
"4",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","0"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+2"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"7",1,"Jonathan Taylor",IND,"RB3","13","4 out of 5","3 out of 5","4 out of 5 stars","-1"
"8",1,"Christian McCaffrey",SF,"RB4","8","4 out of 5","4 out of 5","2 out of 5 stars","-3"
"9",1,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+2"
"10",2,"Justin Jefferson",MIN,"WR6","6","4 out of 5","2 out of 5","5 out of 5 stars","+2"
"11",2,"James Cook III",BUF,"RB5","7","5 out of 5","2 out of 5","2 out of 5 stars","-2"
"12",2,"Ashton Jeanty",LV,"RB6","13","5 out of 5","2 out of 5","2 out of 5 stars","-2"
"13",2,"Drake London",ATL,"WR7","11","5 out of 5","3 out of 5","3 out of 5 stars","+6"
"14",2,"Chase Brown",CIN,"RB7","6","5 out of 5","2 out of 5","2 out of 5 stars","+1"
"15",2,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+6"
"16",2,"Saquon Barkley",PHI,"RB8","10","4 out of 5","3 out of 5","4 out of 5 stars","-3"
"17",2,"Brock Bowers",LV,"TE1","13","5 out of 5","1 out of 5","3 out of 5 stars","+5"
"18",2,"De'Von Achane",MIA,"RB9","6","4 out of 5","4 out of 5","3 out of 5 stars","-4"
"19",2,"Nico Collins",HOU,"WR9","8","4 out of 5","3 out of 5","3 out of 5 stars","+5"
"20",2,"Omarion Hampton",LAC,"RB10","7","5 out of 5","2 out of 5","3 out of 5 stars","-4"
"21",2,"Kenneth Walker III",KC,"RB11","5","4 out of 5","4 out of 5","3 out of 5 stars","-4"
"22",2,"Derrick Henry",BAL,"RB12","13","4 out of 5","2 out of 5","3 out of 5 stars","-4"
"23",2,"George Pickens",DAL,"WR10","14","4 out of 5","4 out of 5","2 out of 5 stars","+2"
"24",2,"Trey McBride",ARI,"TE2","14","4 out of 5","3 out of 5","2 out of 5 stars","-1"
"25",3,"Chris Olave",NO,"WR11","8","4 out of 5","4 out of 5","3 out of 5 stars","+3"
"26",3,"Rashee Rice",KC,"WR12","5","5 out of 5","4 out of 5","2 out of 5 stars","+6"
"",3
"27",3,"Malik Nabers",NYG,"WR13","8","4 out of 5","4 out of 5","4 out of 5 stars","+3"
"28",3,"Josh Allen",BUF,"QB1","7","5 out of 5","1 out of 5","3 out of 5 stars","-8"
"29",3,"DeVonta Smith",PHI,"WR14","10","4 out of 5","2 out of 5","4 out of 5 stars","+5"
"30",3,"Zay Flowers",BAL,"WR15","13","5 out of 5","2 out of 5","4 out of 5 stars","+5"
"31",3,"Kyren Williams",LAR,"RB13","11","4 out of 5","2 out of 5","5 out of 5 stars","-4"
"32",3,"Tetairoa McMillan",CAR,"WR16","5","3 out of 5","3 out of 5","2 out of 5 stars","+7"
"33",3,"Tee Higgins",CIN,"WR17","6","5 out of 5","2 out of 5","4 out of 5 stars","+5"
"34",3,"Javonte Williams",DAL,"RB14","14","4 out of 5","4 out of 5","4 out of 5 stars","-3"
"35",3,"Breece Hall",NYJ,"RB15","13","4 out of 5","3 out of 5","3 out of 5 stars","-2"
"36",3,"Josh Jacobs",GB,"RB16","11","4 out of 5","4 out of 5","4 out of 5 stars","-7"
"37",3,"Garrett Wilson",NYJ,"WR18","13","4 out of 5","4 out of 5","4 out of 5 stars","+8"
"38",3,"Ladd McConkey",LAC,"WR19","7","4 out of 5","3 out of 5","2 out of 5 stars","+5"
"39",3,"Lamar Jackson",BAL,"QB2","13","4 out of 5","3 out of 5","3 out of 5 stars","-2"
"40",3,"Jeremiyah Love",ARI,"RB17","14","5 out of 5","3 out of 5","2 out of 5 stars","-14"
"41",3,"Jaylen Waddle",DEN,"WR20","10","4 out of 5","3 out of 5","2 out of 5 stars","+6"
"42",3,"Emeka Egbuka",TB,"WR21","10","5 out of 5","3 out of 5","4 out of 5 stars","-2"
"43",4,"Colston Loveland",CHI,"TE3","10","5 out of 5","3 out of 5","2 out of 5 stars","-1"
"44",4,"Drake Maye",NE,"QB3","11","5 out of 5","1 out of 5","2 out of 5 stars","+8"
"45",4,"Travis Etienne Jr.",NO,"RB18","8","4 out of 5","4 out of 5","3 out of 5 stars","-4"
